author	ntokens	year_of_birth
vilden	19442	1947
abuelita	1536768	1951
ljus	71798	1951
Superman	25277	1951
lingonben	88789	1952
Funny	15064	1952
OlgaElvira	25325	1953
Emeli	560624	1954
Coccinelle	159842	1954
aldrigmer	115561	1954
tydde	25252	1954
Rodenback	24326	1954
antitanten	252474	1955
KimLinnefeldt	64102	1955
habiti	45436	1955
Jwa	20140	1955
infochristina	18488	1955
Monica G E S	17657	1955
Chili	14387	1955
AnkiM	13985	1955
Johannus	134121	1956
Sven Justus	111113	1956
Minday	72223	1956
yasmin	36010	1956
Michelin	29792	1956
mari123	18660	1956
Doulan	10626	1956
Tecum	484953	1957
Barkbam	57347	1957
margarita	38245	1957
sunbeam	19544	1957
Farmer boy	10958	1957
Woody K	10063	1958
Anne M	491023	1959
ankling	24970	1959
Eva A	17617	1959
snocke	13240	1959
anzita	333400	1960
sallybuse	198897	1960
dessan59	178035	1960
bili	63190	1960
nostalgi	46507	1960
Shizuka	21137	1960
Miss Sunny	20079	1960
lena1	12689	1960
lokisse	918751	1961
Krake	306393	1961
MissLillan	108269	1961
Kajsala	65305	1961
annmin	64723	1961
Hickupp	52499	1961
Immer	38358	1961
Hustru	21319	1961
lennart	14542	1961
Spookie	14525	1961
Fanta	12957	1961
Mikael007	12308	1961
Agathon	11349	1961
chivasregal	54545	1962
Fostermamman	51761	1962
Aleksandra	51726	1962
Gumbo	35375	1962
Dejsi	27311	1962
fostermamman	20291	1962
Jehu	19238	1962
mastress	15550	1962
vinda	15219	1962
Lillhagen	12471	1962
Ingi	10913	1962
de Robespierre	598880	1963
Dilong	165489	1963
Nöjd man	156987	1963
Örnie	141177	1963
turgut	48558	1963
Aiyana	41575	1963
Goya	32747	1963
huskur	27976	1963
Solfjädern	20005	1963
Maja27	18740	1963
Mom2be262	15637	1963
Mossberg	14767	1963
saft	13933	1963
Sven Erik Johansson	1075348	1964
fabler	340972	1964
faster	331727	1964
Hillbillie	295924	1964
ulfsas	241600	1964
Linaek	115721	1964
Underbaraälskade	34967	1964
Giftskåneman	28810	1964
Happyness	23507	1964
Minimalen	21870	1964
gaud	21856	1964
cissy	19444	1964
Noel	15771	1964
Nicke989	14035	1964
mamita64	931533	1965
hymafr	460821	1965
AndreaBD	384787	1965
Tulsa	128801	1965
xSpinell	88516	1965
Nilsfar	79007	1965
MrsApril	73990	1965
IJAM	73289	1965
blomman 2	64410	1965
Tant Herta	55278	1965
Lillgull	45648	1965
Filemon Syklon	43767	1965
MRMR1	41341	1965
Anglia	28610	1965
robman	18465	1965
ItsyBitsy	16103	1965
BlackMamba	13934	1965
Arlene	11975	1965
Ella H	10827	1965
Hedi	366731	1966
Diana	361025	1966
Houdini	265129	1966
Skahlmann	175429	1966
kirsikka	142434	1966
Deceree1	87276	1966
Dr Börje	84682	1966
Pix	83085	1966
Pyret3	63876	1966
Dirtsa	54892	1966
en blind vän	54058	1966
NicKnejm	53260	1966
Kickelina	41577	1966
svarten	34933	1966
Ulfino	27592	1966
Sagogrynet	25069	1966
Gurkmeja	22121	1966
Asali65	21370	1966
aeg	20331	1966
esther	17563	1966
Airam	17098	1966
lilla puppan	15584	1966
Sinnika	14334	1966
airam	13712	1966
Balrog	11805	1966
Frasse	10339	1966
You Know	10022	1966
Fialoppa	10014	1966
Marlene	669115	1967
Piri	256290	1967
nikki2006	243757	1967
Bette	177362	1967
Yrrepyrr	162773	1967
Pejo	136493	1967
Cattis40	116204	1967
cajsalisa	91138	1967
häggen	90199	1967
LinaEje	63073	1967
solstickan41	56090	1967
nobilis	54932	1967
never	49438	1967
Drömmer	47978	1967
dukat	46033	1967
Grenna	45442	1967
ahm66	39383	1967
Hemliga damen	39285	1967
snattran	37700	1967
mimamima	31723	1967
Dellan	31536	1967
Pethra	28901	1967
criss00	21634	1967
mimi66	20419	1967
Häggen	16368	1967
BertilB	16164	1967
ness	15760	1967
Rebecka47	15752	1967
krabbis	15309	1967
WolfTatto	13481	1967
Pletti	11789	1967
längtabarn	10871	1967
Poascenko	10450	1967
Skogsstjärnan	432306	1968
Jordgubbssmak	303251	1968
mirre67	286647	1968
Mondino	238955	1968
bitte67	167040	1968
star67	130859	1968
MymlanMy	102733	1968
Tukt	94539	1968
Pompelipossa	92803	1968
Bellevue	90766	1968
bripoint	85241	1968
C rex	81923	1968
Zizzla	80582	1968
Pudan	72617	1968
Kicka	72192	1968
tokfia	64172	1968
Utan Barn	54520	1968
Charleston	45982	1968
Aisha	45900	1968
Crollan	44400	1968
Fiabus	40609	1968
Nalle1	37079	1968
längtan67	32722	1968
Lilla Bus	30322	1968
Nancie	27752	1968
Ankungen	25222	1968
gabi1969	23953	1968
Nelson	23340	1968
acilegna	22877	1968
Humblebee	21916	1968
Badkruka	19742	1968
Chokladmums	18624	1968
zuzz	18542	1968
MillaP	17184	1968
Hugge47	11428	1968
Youker	11381	1968
smillan	11111	1968
Boobiesarepoetryinmotion	11019	1968
DJ Comet	10667	1968
lupus solitarius	10567	1968
Kim Carol	10566	1968
Jossebell	561695	1969
Inanna Li	309637	1969
Gul13	279659	1969
Juliette F	198376	1969
Iorlover	134790	1969
ronja3	112696	1969
Malena C	97425	1969
lollo14	91090	1969
mammawannabe	82021	1969
Helle68	78777	1969
icaS	78432	1969
Hinos	73915	1969
FredrikBBB	61607	1969
Chilisen	56915	1969
anbiel	46756	1969
nick name	37663	1969
Maria Helena	37440	1969
Felicia68	32467	1969
Dudden	32405	1969
MME	32238	1969
Stor längtan	28909	1969
Krollspell	27382	1969
GRO68	26063	1969
Singel Man	22019	1969
Cammo	21414	1969
Prusiluskan	21265	1969
Maidens Blush	20533	1969
sandbacken	20512	1969
Parvel	19508	1969
simme	18519	1969
EllenH	17592	1969
spik	16945	1969
Lakey69	14591	1969
Mme	14367	1969
LillaStenen	14353	1969
Zimzalabim	13721	1969
Evadesiree	13028	1969
optimist	12746	1969
LillaMymlan	12584	1969
sissela	11060	1969
StinaS	10253	1969
guldplutt	1073149	1971
underverket 06	436151	1971
AnnaKlara	420842	1971
Fiamedbarn	373063	1971
solskina	308416	1971
Väntarochlängtar	305503	1971
Aaglars	280187	1971
Maskot	222571	1971
Helene70	203911	1971
evita	183017	1971
myran6801	161908	1971
Enya70	146995	1971
Anna i Hult	144036	1971
Zorn	143067	1971
Vildrosen	126878	1971
Elijza	124766	1971
Sunflower	120352	1971
Lallamen	111291	1971
Cloudy	109902	1971
mHalmstadsmamma	108488	1971
Mijjo	106414	1971
Kalina	106260	1971
Camarogirl	101807	1971
Kleopatra II	95279	1971
Hercule	85688	1971
lieh	85519	1971
So nice	81412	1971
Godiva	76726	1971
driver28	76317	1971
Bowmore	74598	1971
Kalle17	74014	1971
Wimlan	64611	1971
vargveum	63488	1971
Hemera	61982	1971
Aran	61295	1971
nikon	58154	1971
EXPOSED	57739	1971
Bubblan84	56536	1971
IrreVirre	55627	1971
singhatjejen	54122	1971
Josefin	53327	1971
Sgtwolf	46338	1971
islandgirl	45152	1971
Prillis	45077	1971
kmp	44550	1971
Elino	42847	1971
hatte	41843	1971
Kjole	40434	1971
Martina1970	40159	1971
Nattis	38690	1971
Koalababy	35799	1971
Mavios	35309	1971
Solisen	35137	1971
texel	34696	1971
Nemi	34310	1971
jemast	34233	1971
Jano	33528	1971
cema	32783	1971
saraA88	30822	1971
Cat lover	30668	1971
Lillegrill	29985	1971
Hammare	28284	1971
stress	27901	1971
Sockerbit 1	26380	1971
Bojangles	26227	1971
mementa	25991	1971
Essi	24061	1971
frujakobsson	23587	1971
Jna	23395	1971
Zoolie	23342	1971
Swiss	22634	1971
Kickan90	21772	1971
Kiapia	21734	1971
Excelsior	21513	1971
Lunamamma	21255	1971
LillaRu	20313	1971
Krutgumman	20148	1971
hejo79	19726	1971
Lille Skrutt	19302	1971
Konnässören	18943	1971
Quinna	18499	1971
katalina	18301	1971
wildrose71	17816	1971
Tulip70	17511	1971
gotjej	17405	1971
emma71	16782	1971
Lani	15995	1971
Mile	15578	1971
Kakmonsterarg	15259	1971
Rory	15101	1971
Blixtmannen2	14845	1971
Jossan1979	14130	1971
Anna1972	13898	1971
UlleGull41	13722	1971
Ängeln Teo	13091	1971
MiaMammut	13008	1971
Gudmor	12341	1971
anna1972	12284	1971
man i göteborg	12257	1971
Joohann	12185	1971
Millia	12140	1971
Amla07	12095	1971
liquorice	11939	1971
Miss Juni	11538	1971
häxan surtant 6	11103	1971
Hoppfulla grodan	10593	1971
Flinga	10345	1971
Sara35	10329	1971
Mrspalsson	10285	1971
Alladin Sanee	10211	1971
Dansaren	10149	1971
Gladhannapanna	768931	1972
musli	704620	1972
Atamon	585025	1972
Bondfia	381661	1972
kjempejente	356967	1972
fru bengtsson	331095	1972
Linha	330443	1972
olympia71	311453	1972
Doktorn	239609	1972
PetraMunchen	213312	1972
Mammelutten	211109	1972
Fembarnsmorsan	153463	1972
Killarnas morsa	148753	1972
MamaPapa	134705	1972
pågmamman	126287	1972
brinkly	120676	1972
Pinje	119967	1972
exiteme	114639	1972
stinaliza	112048	1972
oanonym	110752	1972
Rix	100540	1972
Lenagbg	95028	1972
Naomi	94344	1972
Niccan	87961	1972
helenen	86721	1972
SmalaSara	78402	1972
mian71	75934	1972
Liveit1971	72583	1972
vallakra	70788	1972
Rappakalja	70195	1972
moans	67498	1972
tillit71	63185	1972
Josephine	62920	1972
augustibruden	56479	1972
PeeWee44	50446	1972
next2u	49800	1972
Dantes matte	48146	1972
Sebastian72	46761	1972
Silvera	40807	1972
Fru Anna	38491	1972
Salamina	37946	1972
Trisses2	35869	1972
Unikus	33536	1972
Brumelina	32081	1972
emo	30269	1972
boomstar	29678	1972
Fröken Vit i Madickenhuset	29313	1972
BirgittaR	29148	1972
Päronskrutt	27397	1972
cherrypie	27124	1972
Tipptopp	26794	1972
47705	26372	1972
ROGG	25078	1972
Nilla54	24988	1972
SmurfÖga	24981	1972
TheElfa	24512	1972
liba71	24428	1972
candi	23970	1972
Tessan71	22537	1972
EmilyS	21998	1972
blyg viol	21797	1972
kamelia	21765	1972
badong	21458	1972
jeppsson	20666	1972
Solen11	20217	1972
Tulpa	19214	1972
Mimmis rum	19016	1972
Lillan1971	18172	1972
CrashNburn	17426	1972
La musica	17243	1972
MillaQ2	17237	1972
Minna71	16970	1972
Crea Diem	16564	1972
peka	16346	1972
annacarin	16200	1972
MiaD	15704	1972
Redstone	15349	1972
cillaallic	15132	1972
Madicken 71	14553	1972
Coronet	14551	1972
Steffi	14281	1972
Losa	13106	1972
dilog	13078	1972
majsan1	13073	1972
huju	12976	1972
Malin 72	12610	1972
Masterblaster	12088	1972
giftman	12070	1972
kalmarpiraten	11917	1972
Bonniehund	11770	1972
längtansmamma	11163	1972
Amaterasu	10988	1972
Brinkly	10701	1972
glidan	10215	1972
asa1971	10215	1972
Lillivanilli	10007	1972
Dorian Ertymexx	4115983	1973
CeeJay	1605970	1973
jesslin	980793	1973
JAG är BÄST	953064	1973
Emmel	604546	1973
Myra	590254	1973
Tyrell	525535	1973
Gustie	463910	1973
UWO BaraJag	433595	1973
Damien och Adrian	378704	1973
Livsglädjen	247379	1973
Semlan10	222071	1973
Vitsippa	190653	1973
jrockyracoon	190178	1973
Majsan72	182801	1973
Sockerpinglan	156733	1973
TanjaS	153182	1973
vanilla	149458	1973
Maline	139986	1973
FruHH	136589	1973
MammaU	127538	1973
NorrVimpel	126657	1973
Lyxmamma	123663	1973
Mina72	123017	1973
Medium	117699	1973
asfaltsblomman	104306	1973
Norea	104066	1973
fenja	103952	1973
Petra72	102674	1973
metbäcksfru	102055	1973
Sthlm72	100108	1973
Mamma gås	92353	1973
Petter 72	81842	1973
Annica P	79520	1973
Tessa606	74833	1973
mymy	67479	1973
Mirkamu	61914	1973
MeMayo	61476	1973
pluggande mamma	60820	1973
Piken	60770	1973
Mya1	59583	1973
Blåbärspaj	58752	1973
Totinona	57522	1973
Erase	56851	1973
Groover	56168	1973
ulimon	55497	1973
Pia73	53785	1973
smultronpuss	48002	1973
Grodan1972	45617	1973
mama mellitus	45547	1973
Filur	44678	1973
SingForLife	42823	1973
Okara	41536	1973
mammas4killar	39951	1973
tigger	38956	1973
Yamma	38892	1973
Peter37	37952	1973
Loviz	36000	1973
Veran	35981	1973
Luddan	34833	1973
Jan Holmström	34794	1973
bondmoran punkt nu	33620	1973
pipperoni	32555	1973
Yoga	32164	1973
Solros72	31905	1973
Anders2015	31173	1973
P A K	31170	1973
bono	30825	1973
NY I GBG	30637	1973
hummelhonung	30400	1973
Snärtan	29375	1973
kana	28437	1973
Laguna	28330	1973
kudden12	28289	1973
A72	27820	1973
MalinBN	27790	1973
Mida	26897	1973
Malinx	26330	1973
Ölandstok	26180	1973
tvillingmamma	25147	1973
LO72	25078	1973
spån Mona	24283	1973
sladdmamman	24109	1973
SVEACOOL	23692	1973
jennas1	23481	1973
Anna1234	23006	1973
Trixan	22788	1973
Valente	22259	1973
Peppan	22033	1973
Milia	21769	1973
murresnurre	21667	1973
Boe	20839	1973
MIAH73	20666	1973
susmar72	20572	1973
semlan10	20160	1973
Trulsan	20111	1973
Kikkis	19980	1973
Eldig72	19730	1973
ewis1	19087	1973
asan25	18771	1973
Ängla88	18687	1973
big mama	18678	1973
Jennolinnea	18360	1973
Maroska	18348	1973
tingelinga	17590	1973
Computerworld	17393	1973
Mashenjka	17380	1973
Pale blue eyes	16706	1973
leandra	15840	1973
Annika31	15773	1973
puman0507	15206	1973
Zhuhai	15074	1973
parnordqvist	15042	1973
kaffebönan	14365	1973
pernilla1972	14352	1973
hoppaspåenliten	14286	1973
Lady79	13854	1973
Pilsner	13846	1973
elonpelon	13694	1973
Lucaz mamma	13320	1973
SaraSofie	13198	1973
Terrus	13115	1973
maja72	13069	1973
StefanH	12728	1973
Magnolian	12444	1973
Kajsa 30	12315	1973
FlickaMedGuld	12176	1973
nina72	12101	1973
Cina72	12002	1973
Ärtan05	11823	1973
mintur2010	11671	1973
sockerbomben	11327	1973
Tigermamman72	11109	1973
Leandra	11055	1973
annamariahelena72	10894	1973
PostisPer	10866	1973
vänlig	10779	1973
milla72	10647	1973
guldklimpen	10443	1973
varmland	10426	1973
Peteja	10266	1973
pluttbebis	10094	1973
annlis72	10082	1973
Pallas	2857032	1974
TessaS	619978	1974
Impertiff	544463	1974
Nickis	539059	1974
Pochahontas	483004	1974
Lillatroll	374016	1974
Diwa	357362	1974
tempo21	314631	1974
Julianna	309105	1974
Trissvinnaren	288198	1974
TigerLily	277102	1974
Kyanita	264936	1974
Missermajser	226974	1974
Madame Mom	220040	1974
Fama123	219973	1974
Betty Boop	203940	1974
Sladdis	198403	1974
Fe73	192679	1974
Petrellie	189581	1974
MrsC74	171686	1974
Farth Vader	164880	1974
Livshlädje	155549	1974
Teza73	155199	1974
Fröken Juni	154046	1974
lire100	148658	1974
Majuni	138672	1974
mamma smurfen	135619	1974
IsaN	130916	1974
jag är den jag är	129132	1974
Lotten73	128470	1974
Aniara	128305	1974
MariaX m 2	126644	1974
Madicken73	116035	1974
bumse2	115137	1974
zasu	111178	1974
Sally	104743	1974
Thuleslapper	94893	1974
Jenka1	94062	1974
mamma till 2 frön	92907	1974
Mara	92404	1974
Allex	88825	1974
Miemi	83695	1974
budde1	77733	1974
VojneVojne	76880	1974
Lily38	76788	1974
Pinglan73	67865	1974
FCBJ	65324	1974
LisaW111	64861	1974
Alexandria	63221	1974
tan73	62514	1974
Ninnan	60602	1974
sax1	58782	1974
QrazyQuties	54671	1974
Erica 73	52223	1974
Dr Myo	52083	1974
Smulanflen	49588	1974
Krumpy	49295	1974
Julia08	48927	1974
4an	47494	1974
isblomma	42903	1974
Pippiputti	41919	1974
Smulan1973	41656	1974
zmurfan	41095	1974
Maraki73	39528	1974
NELJ	38430	1974
Bissen	37665	1974
Ssofia	37126	1974
Assis	37060	1974
Shades	36951	1974
Vikingafrun	35916	1974
Tildalainen	35526	1974
TreFantastiskaBarn	35013	1974
Princepesa	34823	1974
ballamalla	34784	1974
ellenagnes	33867	1974
Fröken J	33397	1974
Sissa Blom	32024	1974
Nelle	31750	1974
Lotass	29981	1974
Bella73	27754	1974
Tuss 1	27549	1974
Man 1973	26847	1974
Tereza	26834	1974
mammiloo	26498	1974
Mr Andersson	24966	1974
Liv73	23822	1974
Magnetica	23812	1974
Suss73	23596	1974
Silverjenny	23466	1974
Miss	23183	1974
MariaO	23112	1974
Anjonen	23047	1974
Jois	22811	1974
gosgroda	22347	1974
mysan06	21283	1974
gottelina	20385	1974
Vårdepp	20320	1974
Mattemamman	19885	1974
Maggan81	19844	1974
Lottapotta08	18930	1974
ak73	18758	1974
VeraLu	18285	1974
lindamarias	17616	1974
Carla	17286	1974
LiM	17246	1974
majamajas	16905	1974
vanligkille37	16600	1974
CamillaA	16477	1974
nettea	16064	1974
shootking	16009	1974
Malphie	15895	1974
verosus	15808	1974
Klubben	15329	1974
ullehj	15224	1974
RestoreMe	15031	1974
solange	14381	1974
Ellentina	14324	1974
Pikapika	14189	1974
Tweety11	13912	1974
monkan10	13819	1974
ylva t	13795	1974
moadylan	13546	1974
solrosfrö	13409	1974
Savasana	13346	1974
redbull	12773	1974
Nore	12629	1974
lillan kba	12586	1974
tebe	12171	1974
chivas	11828	1974
Mumsa73	11807	1974
CillowP	11636	1974
Mamsen1	11396	1974
jagheterjenny	11343	1974
urv73	11130	1974
Smultron73	10948	1974
Mirrebirre	10851	1974
tempest1	10620	1974
Kleo73	10507	1974
Pyret2017	10350	1974
LJo	10122	1974
NadiaMi	2193905	1975
Butterscotch	809679	1975
delifi2	804508	1975
Joje	777745	1975
hotten	491087	1975
car	442892	1975
Baronessan	442179	1975
BasseKatt	377736	1975
cirkel	329620	1975
Sigrid	292803	1975
LadyBond	276651	1975
Granada	266479	1975
angiee	260413	1975
pojkens	249587	1975
KickanAnnika	244421	1975
Pinja	230147	1975
Rae	208354	1975
Ninizen	204301	1975
Bell13	193130	1975
Nellie	189137	1975
LA Woman	185764	1975
Heureka	175151	1975
Eileen1	173759	1975
